,X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,FoldChange,gene_symbol
1,ENSG00000147256,632.7702981,6.687753681,0.547096019,12.22409495,2.31E-34,5.27E-30,103.0895067,ARHGAP36
2,ENSG00000170893,1043.127855,4.80890488,0.427547774,11.24764335,2.38E-29,2.71E-25,28.03009793,TRH
3,ENSG00000275896,105.3753743,3.827847811,0.387131617,9.887716837,4.71E-23,3.57E-19,14.20028334,PRSS2
4,ENSG00000234722,38.94328672,-3.897211661,0.399374465,-9.758289532,1.70E-22,9.68E-19,0.067115432,LINC01287
5,ENSG00000198077,238.9814649,-4.270323186,0.447136141,-9.550386988,1.29E-21,5.89E-18,0.051820862,CYP2A7
6,ENSG00000137558,5097.144849,-3.353814979,0.361617045,-9.274493631,1.78E-20,6.78E-17,0.097814016,PI15
7,ENSG00000089199,7927.809135,-4.815930208,0.521355742,-9.237320736,2.53E-20,8.23E-17,0.035502632,CHGB
8,ENSG00000103740,26.40100856,1.70470271,0.192051799,8.876265253,6.91E-19,1.97E-15,3.259617565,ACSBG1
9,ENSG00000131781,1280.98733,-1.639786501,0.191791662,-8.54983207,1.23E-17,3.12E-14,0.32090396,FMO5
10,ENSG00000171199,702.3653657,4.861834132,0.573637862,8.475441489,2.34E-17,5.34E-14,29.07755646,OPRPN
11,ENSG00000159339,9.848712913,2.461469555,0.295792341,8.321613559,8.68E-17,1.80E-13,5.507774735,PADI4
12,ENSG00000229453,232.9988973,-2.761655426,0.333878737,-8.271432476,1.32E-16,2.51E-13,0.147454788,SPINK8
13,ENSG00000114200,133.2508917,-2.189706556,0.266519656,-8.215928938,2.11E-16,3.69E-13,0.21919601,BCHE
14,ENSG00000147255,803.8899478,2.917802386,0.35843339,8.140431298,3.94E-16,6.20E-13,7.55694114,IGSF1
15,ENSG00000197584,12.77477156,2.492411618,0.306342597,8.136026928,4.08E-16,6.20E-13,5.627178071,KCNMB2
16,ENSG00000182463,1090.595836,1.373269257,0.170621247,8.048641536,8.37E-16,1.19E-12,2.590569444,TSHZ2
